standard,1,441619,1572,1417,50,24015,339,,,,,,,N2O area,N2O ppm,CO2 area,CO2 ppm,CH4 area,CH4 ppm
standard,2,365783,1384,1178,54,30986,412,,,,,,,441619,1.689189189,628951,1167.22973,24015,1.724662162
standard,3,276229,1064,1458,54,42609,641,,,,,,,365783,1.351351351,2288170,2334.459459,30986,3.449324324
standard,4,199023,815,1257,56,56523,873,,,,,,,276229,1.013513514,3941630,3501.689189,42609,5.173986486
standard,5,107725,479,628951,1565,66978,1046,,,,,,,199023,0.675675676,5472774,4668.918919,56523,6.898648649
standard,6,351316,1344,2288170,4657,120927,1985,,,,,,,107725,0.337837838,7155684,5836.148649,66978,8.623310811
standard,7,804661,2856,3941630,7667,12331,134,,,,,,,351316,1.689189189,15471373,11672.2973,120927,17.24662162
standard,8,28107,216,5472774,10325,13496,130,,,,,,,804661,3.378378378,,,,
standard,9,41658,247,7155684,13416,10819,98,,,,,,,28107,0.101351351,,,,
standard,10,50439,254,15471373,27607,11803,111,,,,,,,41658,0.135135135,,,,
sample,137,94523,432,1340,56,22335,303,,,,0.284292,737.048,2.5408,50439,0.168918919,,,,
sample,138,100731,458,1000953,2290,22368,284,,,,0.309124,1436.7771,2.5474,,,,,,
sample,139,103138,466,1800681,3804,22325,280,,,,0.318752,1996.5867,2.5388,,,,,,
sample,140,107196,478,2457109,4975,21532,280,,,,0.334984,2456.0863,2.3802,,,,,,
sample,141,96694,443,1224,49,25384,357,,,,0.292976,736.9668,3.1506,,,,,,
sample,142,104035,472,684616,1689,22931,320,,,,0.32234,1215.3412,2.66,,,,,,
sample,143,110250,422,1286139,2812,21310,278,,,,0.3472,1636.4073,2.3358,
sample,144,116303,511,1868810,3876,19662,242,,,,0.371412,2044.277,2.0062,
sample,145,98109,452,1266,66,24685,327,,,,0.298636,736.9962,3.0108,
sample,146,138276,591,729680,1778,22986,309,,,,0.459304,1246.886,2.671,
sample,147,174338,662,1401439,3016,25677,339,,,,0.603552,1717.1173,3.2092,
sample,148,210597,841,2001381,4155,22871,300,,,,0.748588,2137.0767,2.648,
sample,149,97173,447,1499,52,23185,309,,,,0.294892,737.1593,2.7108,
sample,150,117957,517,1582330,3387,24064,315,,,,0.378028,1843.741,2.8866,
sample,151,134710,582,3171549,6225,22877,296,,,,0.44504,2956.1943,2.6492,
sample,152,130085,562,3807143,7326,24466,324,,,,0.42654,3401.1101,2.967,
sample,153,97208,453,1326,63,27615,387,,,,0.295032,737.0382,3.5968,no overpressure
sample,154,111838,505,2031699,4187,23321,299,,,,0.353552,2158.2993,2.738,
sample,155,127977,558,4062405,7773,22869,266,,,,0.418108,3579.7935,2.6476,
sample,156,100632,459,345153,962,23373,307,,,,0.308728,977.7171,2.7484,
sample,157,101067,467,1440,47,23783,323,,,,0.310468,737.118,2.8304,
sample,158,130038,563,1768532,3700,24564,325,,,,0.426352,1974.0824,2.9866,
sample,159,155267,658,3370715,6577,23470,294,,,,0.527268,3095.6105,2.7678,
sample,160,185383,755,4252508,8154,22883,297,,,,0.647732,3712.8656,2.6504,
sample,161,98653,457,1169,55,24361,330,,,,0.300812,736.9283,2.946,
sample,162,100734,461,789748,1878,22936,305,,,,0.309136,1288.9336,2.661,no overpressure
sample,163,102107,473,1492194,3185,19784,236,,,,0.314628,1780.6458,2.0306,
sample,164,104941,472,1921166,3989,19327,235,,,,0.325964,2080.9262,1.9392,
sample,165,101685,475,1293,61,20568,292,,,,0.31294,737.0151,2.1874,
sample,166,106668,480,1386488,3015,18846,231,,,,0.332872,1706.6516,1.843,
sample,167,104174,485,683462,1643,21079,254,,,,0.322896,1214.5334,2.2896,
sample,168,113459,514,1894782,3974,18049,222,,,,0.360036,2062.4574,1.6836,
sample,169,99385,470,1218,58,22312,297,,,,0.30374,736.9626,2.5362,
sample,170,109777,488,937270,2153,20364,281,,,,0.345308,1392.199,2.1466,no overpressure
sample,171,131255,581,1828838,3872,19286,225,,,,0.43122,2016.2966,1.931,
sample,172,134980,583,2442364,4934,18072,216,,,,0.44612,2445.7648,1.6882,
sample,173,101924,479,1164,43,22030,297,,,,0.313896,736.9248,2.4798,
sample,174,136008,583,870460,2056,24070,318,,,,0.450232,1345.432,2.8878,
sample,175,173140,726,1634903,4745,22564,300,,,,0.59876,1880.5421,2.5866
sample,176,211693,852,2657514,5344,21154,268,,,,0.752972,2596.3698,2.3046
sample,177,97088,463,1460,54,23641,291,,,,0.294552,737.132,2.802
sample,178,108032,490,781648,1859,23363,307,,,,0.338328,1283.2636,2.7464
sample,179,127871,570,1665039,3567,21298,268,,,,0.417684,1901.6373,2.3334
sample,180,130451,566,2184924,4418,22727,302,,,,0.428004,2265.5568,2.6192
sample,181,98217,468,1206,57,23160,308,,,,0.299068,736.9542,2.7058
sample,182,99431,455,917662,2111,23666,312,,,,0.303924,1378.4734,2.807
sample,183,100564,480,2088367,4258,21142,275,,,,0.308456,2197.9669,2.3022
sample,184,99059,451,2750666,5494,23694,328,,,,0.302436,2661.5762,2.8126
sample,185,99027,470,1408,75,23263,301,,,,0.302308,737.0956,2.7264
sample,186,104144,473,560817,1395,22896,299,,,,0.322776,1128.6819,2.653
sample,187,112363,520,1073509,2384,22333,293,,,,0.355652,1487.5663,2.5404
sample,188,109410,486,1566970,3298,22097,306,,,,0.34384,1832.989,2.4932
sample,189,98567,473,1379,55,23749,312,,,,0.300468,737.0753,2.8236
sample,190,104344,475,579016,1443,22736,281,,,,0.323576,1141.4212,2.621
sample,191,111494,433,944063,2149,22815,290,,,,0.352176,1396.9541,2.6368
sample,192,108271,484,1450353,3095,21345,268,,,,0.339284,1751.3571,2.3428
sample,193,99877,471,261376,744,25666,326,,,,0.305708,919.0732,3.207
sample,194,123574,540,831936,1946,23509,304,,,,0.400496,1318.4652,2.7756
sample,195,156127,668,1468408,3121,23667,312,,,,0.530708,1763.9956,2.8072
sample,196,175910,722,2051620,4208,21702,297,,,,0.60984,2172.244,2.4142
sample,197,98607,468,1426,51,24594,297,,,,0.300628,737.1082,2.9926
sample,198,117354,464,1023186,2326,22366,286,,,,0.375616,1452.3402,2.547
sample,199,126142,568,1666096,3509,20390,269,,,,0.410768,1902.3772,2.1518
sample,200,134193,575,2692876,5404,19827,268,,,,0.442972,2621.1232,2.0392
sample,201,101374,479,1553,48,23566,317,,,,0.311696,737.1971,2.787
sample,202,110864,493,1034134,2327,22978,278,,,,0.349656,1460.0038,2.6694
sample,203,116544,532,1682448,3484,22339,270,,,,0.372376,1913.8236,2.5416
sample,204,125648,547,2400721,4796,22037,269,,,,0.408792,2416.6147,2.4812
sample,205,102328,481,1393,59,23640,319,,,,0.315512,737.0851,2.8018
sample,206,108140,490,873568,2005,22625,313,,,,0.33876,1347.6076,2.5988
sample,207,115215,531,1488932,3130,22890,280,,,,0.36706,1778.3624,2.6518
sample,208,121513,531,1929619,4003,21602,282,,,,0.392252,2086.8433,2.3942
standard,1,438191,1627,1335,49,23646,329,,,,,,
standard,2,355968,1282,1401,2007,34356,511,,,,,,
standard,3,279692,1090,1609,47,44312,646,,,,,,
standard,4,199059,801,1413,53,56524,873,,,,,,
standard,5,104856,492,659647,1588,69079,1099,,,,,,
standard,6,439633,1571,2214786,4562,124988,2074,,,,,,
standard,7,808471,2871,3963776,7628,12974,127,,,,,,
standard,8,27673,197,5689477,10631,10884,94,,,,,,
standard,9,42786,221,7256681,13489,10504,92,,,,,,
standard,10,48227,289,14991791,26473,13391,143,,,,,,
